agent,group,model,fit_AS,Unnamed: 0,id,fit_DB,fit_VS,fit_SG,r2,lambda,beta,tau,par
4,23,AS,360.4509775796281,28800,34,363.7492446142148,376.483357656357,362.1540251073638,0.3673658853754846,1.3803457254978555,0.1870051492444125,0.06897393460980485,
4,23,DB,360.4509775796281,28800,34,363.7492446142148,376.483357656357,362.1540251073638,0.36291271274188175,1.4032185887408684,0.17889594688636218,0.07183243284594087,0.21428570000000002
4,23,VS,360.4509775796281,28800,34,363.7492446142148,376.483357656357,362.1540251073638,0.33876318411811246,1.8072790353430894,0.009691999121164818,0.11793190774476629,0.116
4,23,SG,360.4509775796281,28800,34,363.7492446142148,376.483357656357,362.1540251073638,0.36504293104159186,1.384540243886885,0.17839404831728817,0.0708164345620293,18.999999999999996
1,23,AS,316.2479107916027,29520,35,326.0224393420661,330.855878587432,324.2138275123055,0.3246628261156618,1.4355135100481917,0.1261012198330882,0.05992238516006893,
1,23,DB,316.2479107916027,29520,35,326.0224393420661,330.855878587432,324.2138275123055,0.3184610181889972,1.4551171381454455,0.12671797664907883,0.06167384245112527,0.21648493541111025
1,23,VS,316.2479107916027,29520,35,326.0224393420661,330.855878587432,324.2138275123055,0.29394505387087,1.6839710359520688,0.0069667093384093584,0.09256170237751093,0.116
1,23,SG,316.2479107916027,29520,35,326.0224393420661,330.855878587432,324.2138275123055,0.32154617270134267,1.192146660736974,0.16665423268250634,0.05281137718628356,17.416557981239578
4,25,AS,397.6913968773324,11520,36,404.2112644046794,406.6768807756139,399.7185287867808,0.3001966526787942,1.049867143359589,0.31727726440504456,0.06569356387470045,
4,25,DB,397.6913968773324,11520,36,404.2112644046794,406.6768807756139,399.7185287867808,0.29620331570835373,0.9317293249814999,0.35541012138167355,0.060797024048030585,0.21428570000000002
4,25,VS,397.6913968773324,11520,36,404.2112644046794,406.6768807756139,399.7185287867808,0.29541111226025807,1.4560595955039237,0.18144520879678905,0.08941123624228198,0.116
4,25,SG,397.6913968773324,11520,36,404.2112644046794,406.6768807756139,399.7185287867808,0.3000522216046585,1.0282238936511319,0.3172679022291121,0.06614406608548362,18.999999999999996
3,25,AS,402.1589595745861,18720,37,403.1179783061807,398.5524994607065,407.07440505065887,0.2613159132241893,1.2092765983295777,0.2524805876237932,0.05840080414519846,
3,25,DB,402.1589595745861,18720,37,403.1179783061807,398.5524994607065,407.07440505065887,0.2446725203156354,1.211569837878962,0.2534763529165617,0.06013791058166236,0.21428570000000002
3,25,VS,402.1589595745861,18720,37,403.1179783061807,398.5524994607065,407.07440505065887,0.20519463928478687,2.1368753238085527,0.006765534588243798,0.10469598337388752,0.116
3,25,SG,402.1589595745861,18720,37,403.1179783061807,398.5524994607065,407.07440505065887,0.2124810908348494,1.318814373317228,0.21587959298668158,0.06560168147625875,18.999999999999996
1,25,AS,372.4853646360451,21600,38,374.6054551869608,374.9664149271267,372.5470188808095,0.2448905148031542,1.0452492771158999,0.24824048788552755,0.05975763701090707,
1,25,DB,372.4853646360451,21600,38,374.6054551869608,374.9664149271267,372.5470188808095,0.24301408703184102,1.048269889771233,0.246774732141557,0.06071335742121487,0.21428570000000002
1,25,VS,372.4853646360451,21600,38,374.6054551869608,374.9664149271267,372.5470188808095,0.2513281382487604,1.0929874076405164,0.23686136082586312,0.06343386640360527,0.116
1,25,SG,372.4853646360451,21600,38,374.6054551869608,374.9664149271267,372.5470188808095,0.23523474589250426,1.0270970801354646,0.24585124062129182,0.05905626072810548,18.241639147071
2,25,AS,393.5603785098279,22320,39,402.459388558657,423.1896191262685,419.4023414140753,0.2595973469258795,0.7886053755401248,0.42532021714214646,0.04173357347475304,
2,25,DB,393.5603785098279,22320,39,402.459388558657,423.1896191262685,419.4023414140753,0.24745897216383123,0.9701344719030017,0.3661405128345926,0.05159288295693243,0.21428570000000002
2,25,VS,393.5603785098279,22320,39,402.459388558657,423.1896191262685,419.4023414140753,0.2428686065767527,1.9059570139738988,0.04768511382302512,0.10706969049629254,0.116
2,25,SG,393.5603785098279,22320,39,402.459388558657,423.1896191262685,419.4023414140753,0.2558233305511936,1.403194617032571,0.22366679093573227,0.07481692140129591,18.999999999999996
