agent,group,model,Unnamed: 0,id,r2_DB,r2_VS,r2_SG,r2_AS,fit,lambda,beta,tau,par
1,8,VS,13680,22,0.28598106356871794,0.2723098048786023,0.27483621164676364,0.2811970381498264,391.5608175987495,2.0856992712745686,0.006737946999085468,0.0985746231113514,0.116
1,8,SG,13680,22,0.28598106356871794,0.2723098048786023,0.27483621164676364,0.2811970381498264,387.4929519019855,1.4948941165845944,0.16242794050291745,0.06988049599518381,18.999999999999996
4,8,AS,20880,23,0.26347189405316046,0.24046936197705437,0.2737203099091242,0.2749418421495502,389.4494305438213,0.7083292472915047,0.487957975030131,0.04179532356073325,
4,8,DB,20880,23,0.26347189405316046,0.24046936197705437,0.2737203099091242,0.2749418421495502,395.61026703140624,0.6628716333102423,1.560020932546785,0.03807090554577746,0.21428570000000002
4,8,VS,20880,23,0.26347189405316046,0.24046936197705437,0.2737203099091242,0.2749418421495502,407.9655835272084,0.8361529267344987,0.3817672338878189,0.054373714024637254,0.116
4,8,SG,20880,23,0.26347189405316046,0.24046936197705437,0.2737203099091242,0.2749418421495502,390.10555037403634,0.6734085128200987,0.5430850596536815,0.03795614614541189,17.873221469672593
3,16,AS,5760,24,0.32356879443363584,0.3308172944514498,0.3288237064499441,0.33052478841604865,387.2293403950407,0.8013433854291452,0.4181264146313753,0.0496794602522749,
3,16,DB,5760,24,0.32356879443363584,0.3308172944514498,0.3288237064499441,0.33052478841604865,386.09625565948863,0.8248709919296475,0.40853292706282024,0.050599538424402846,0.21428570000000002
3,16,VS,5760,24,0.32356879443363584,0.3308172944514498,0.3288237064499441,0.33052478841604865,392.9625648796506,1.1321763417627275,0.28485934229813853,0.06840544141404292,0.116
3,16,SG,5760,24,0.32356879443363584,0.3308172944514498,0.3288237064499441,0.33052478841604865,392.1121770307992,1.127517959641934,0.3167321024816552,0.06432128175261743,8.561659974081708
1,16,AS,18240,25,0.2427530342823166,0.24853897313043521,0.23581283742200937,0.24683391908227997,359.59424370527745,1.1661043218956206,0.2154234281148948,0.06571329061339501,
1,16,DB,18240,25,0.2427530342823166,0.24853897313043521,0.23581283742200937,0.24683391908227997,363.33050660499873,1.2008955242094772,0.20473815127089642,0.0691093158066013,0.21428570000000002
1,16,VS,18240,25,0.2427530342823166,0.24853897313043521,0.23581283742200937,0.24683391908227997,359.4371303652175,1.1663065718574603,0.21660610935642072,0.06399484552424291,0.116
1,16,SG,18240,25,0.2427530342823166,0.24853897313043521,0.23581283742200937,0.24683391908227997,360.5079433800344,1.1445700829117058,0.2158020941395764,0.06519973229215181,18.999999999999996
2,16,AS,19200,26,0.28118462134989386,0.26840125816086496,0.2699844692244569,0.2790750988634941,404.5469982544873,1.7742338443080703,0.06141857584348408,0.11016099293123005,
2,16,DB,19200,26,0.28118462134989386,0.26840125816086496,0.2699844692244569,0.2790750988634941,406.7389579535167,1.607585319172018,0.11295113102027216,0.10173910056325289,0.21428570000000002
2,16,VS,19200,26,0.28118462134989386,0.26840125816086496,0.2699844692244569,0.2790750988634941,403.6311650610935,1.7786647096816595,0.050507893863732056,0.1099288416569817,0.116
2,16,SG,19200,26,0.28118462134989386,0.26840125816086496,0.2699844692244569,0.2790750988634941,410.4667357680879,1.2790191095909045,0.21280180199048668,0.08218768064051757,18.999999999999996
4,16,AS,19680,27,0.2587290578729011,0.2610242637222569,0.27849734387486286,0.26844333203853515,392.9399657991189,0.6666546542858394,0.47088189310135,0.04106703518379913,
4,16,DB,19680,27,0.2587290578729011,0.2610242637222569,0.27849734387486286,0.26844333203853515,398.15777970961767,0.6867292947848531,0.46140077160227566,0.04419414825069665,0.21428570000000002
4,16,VS,19680,27,0.2587290578729011,0.2610242637222569,0.27849734387486286,0.26844333203853515,396.9249591402135,1.0221141103598506,0.29611382682273896,0.06893163602116453,0.116
4,16,SG,19680,27,0.2587290578729011,0.2610242637222569,0.27849734387486286,0.26844333203853515,387.5396690892013,0.5909350385669846,0.4967348579386986,0.033367795938003146,11.21787782048706
2,19,AS,6720,28,0.41159780148341396,0.3719444959072873,0.424501962959646,0.4231695899581414,355.3912893162243,1.5052115349567763,0.03798443268831741,0.08342593512491034,
2,19,DB,6720,28,0.41159780148341396,0.3719444959072873,0.424501962959646,0.4231695899581414,357.7093457705281,1.5323925890759704,0.0435636528170623,0.08352286990716816,0.21428570000000002
2,19,VS,6720,28,0.41159780148341396,0.3719444959072873,0.424501962959646,0.4231695899581414,359.0310592668269,1.5106057448910977,0.006737946999085468,0.09560189014318729,0.116
2,19,SG,6720,28,0.41159780148341396,0.3719444959072873,0.424501962959646,0.4231695899581414,360.19932582413173,1.301026900241446,0.0832915865691702,0.07428216148836925,16.827830098599904
3,19,AS,10800,29,0.3340340004397948,0.3315732980284591,0.32939827572393326,0.3383496460942356,357.39922766227016,1.0717663597329057,0.33554576000217895,0.05690649750421544,
3,19,DB,10800,29,0.3340340004397948,0.3315732980284591,0.32939827572393326,0.3383496460942356,357.5253847651136,0.9568787423795121,0.36776559933337305,0.05402928411698993,0.21428570000000002
3,19,VS,10800,29,0.3340340004397948,0.3315732980284591,0.32939827572393326,0.3383496460942356,381.92521660187856,2.127463227067085,0.006737946999085468,0.11347015995776086,0.116
3,19,SG,10800,29,0.3340340004397948,0.3315732980284591,0.32939827572393326,0.3383496460942356,354.159792495642,1.202705118803307,0.2875284863536309,0.06351755564065814,17.59254595186861
4,19,AS,21120,30,0.32829482390147274,0.28245784645275707,0.3341823009195116,0.3286897317811659,410.2287937720076,0.748149732519969,0.28823617329482953,0.04908598239911394,
4,19,DB,21120,30,0.32829482390147274,0.28245784645275707,0.3341823009195116,0.3286897317811659,413.4755320874195,0.7512818979587403,0.29231815630967267,0.046833340137857456,0.21911174554111368
4,19,VS,21120,30,0.32829482390147274,0.28245784645275707,0.3341823009195116,0.3286897317811659,416.6100538721955,1.4347137517071014,0.0380732910749155,0.11536968220303279,0.116
4,19,SG,21120,30,0.32829482390147274,0.28245784645275707,0.3341823009195116,0.3286897317811659,404.01867250991,0.6275391180180603,0.31646222454763295,0.03954012697615289,8.811350669798935
1,19,AS,31440,31,0.2302112056168338,0.22437550420667052,0.24781753046045915,0.23625582634899864,309.83207661184093,1.2385613210932145,0.006737946999085468,0.07218039509954816,
1,19,DB,31440,31,0.2302112056168338,0.22437550420667052,0.24781753046045915,0.23625582634899864,316.04761447326814,1.2649942304574044,0.006737946999085468,0.07451999032955199,0.21428570000000002
1,19,VS,31440,31,0.2302112056168338,0.22437550420667052,0.24781753046045915,0.23625582634899864,337.3465366474366,1.1144566528073065,0.0067568504473300706,0.08724252804507382,0.11611755796916678
